"id","rfapre1","rfapro1","rfapre2","rfapro2","rfapre3","rfapro3","rfapro4","rfapre4","rfcpre1","rfcpro1","rfcpre2","rfcpro2","rfcpre3","rfcpro3","rfcpro4","rfcpre4","aresp1","arest1","aresp2","arest2","aresp3","arest3","aresp4","arest4","arest5","aresp5","cresp1","crest1","cresp2","crest2","cresp3","crest3","cresp4","crest4","crest5","cresp5","ra.name","rfqpro1r","rfqpre1r","rfqpro2","rfqpre2r","rfqpre3","rfqpre4r","rfqpro3","rfqpre5r","rfqpro4r","rfqpro5","rfqpro6r","rfqexpro1","rfqexpro2","rfqexpre1","rfqexpre2","rfqexpre3","rfqexpro3"
31,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Olive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,3,4,3,3,4,4,4,4,3,3,3,3,3,3,3,3,4,0,4,3,5,1,3,1,3,5,5,1,5,4,4,0,3,1,3,5,"Kerry",1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5
33,4,4,4,4,4,3,3,3,4,3,2,2,2,3,2,2,3,2,3,2,4,2,2,2,3,2,5,2,5,4,5,0,2,4,2,5,"Olive",1,2,4,1,5,1,4,3,4,5,3,3,4,5,5,5,4
34,5,1,2,1,3,3,3,3,4,5,4,5,4,3,3,3,5,4,3,5,5,5,3,3,3,3,5,4,5,5,5,2,3,4,5,5,"Olive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,4,4,3,5,4,4,3,3,5,4,5,5,5,5,4,2,3,3,3,3,3,3,4,2,5,2,5,5,5,5,5,0,2,2,5,1,"Olive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,5,5,5,5,5,5,5,2,1,1,1,1,1,5,1,1,0,5,0,5,4,5,1,1,5,1,2,3,4,5,5,2,1,5,5,1,"Elisa",1,2,5,5,3,3,4,5,2,5,1,5,5,4,5,3,5
37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Olive",2,2,4,1,4,2,4,2,2,4,2,4,3,4,4,4,4
38,3,3,3,2,2,3,1,2,4,4,4,3,2,2,1,2,3,4,3,5,5,2,2,2,2,3,5,3,5,5,5,2,3,4,4,5,"Olive",2,5,5,5,2,5,3,4,3,4,2,5,3,5,4,2,5
39,3,4,3,2,3,3,3,2,2,2,2,2,3,2,2,2,2,3,4,2,4,2,4,1,0,5,5,2,4,1,5,3,4,2,1,5,"Kerry",1,1,5,1,5,1,5,1,2,5,1,5,5,5,5,3,4
40,4,4,3,4,4,4,3,4,2,4,NA,3,3,3,3,3,4,2,4,2,4,2,NA,3,3,3,4,2,4,NA,4,0,2,3,3,4,"Olive",2,3,4,2,4,2,5,4,3,4,3,2,3,2,2,3,4
41,5,5,5,5,5,5,5,5,1,1,1,1,2,1,1,1,5,0,5,3,5,0,4,0,0,5,5,0,5,5,5,0,5,3,2,5,"Elisa ",1,2,5,2,5,4,3,1,1,5,1,3,4,4,3,3,4
42,2,4,2,2,2,4,0,0,2,1,0,0,0,4,0,0,3,3,5,2,1,5,1,4,4,0,1,4,3,4,1,4,2,2,4,5,"Olive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,3,3,5,5,4,5,0,0,5,"Olive",2,1,5,2,1,3,5,1,2,5,1,5,5,3,2,2,5
44,4,1,4,4,4,4,3,3,1,1,3,1,3,0,2,2,3,0,5,1,3,0,3,1,3,1,2,3,3,4,4,3,3,3,5,1,"Elisa",1,4,5,5,3,4,5,5,1,5,1,5,3,4,4,1,5
45,3,4,4,4,4,4,4,4,2,3,2,2,2,3,2,2,4,2,5,2,4,2,3,2,4,2,5,2,4,2,4,1,4,2,2,5,"Stephen",1,3,4,2,4,3,4,3,1,5,3,4,4,5,3,2,5
46,4,3,4,4,4,4,3,4,3,2,3,2,2,3,2,2,2,3,2,2,3,1,2,2,3,2,2,3,2,2,2,3,3,3,3,3,"Olive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,5,5,5,5,4,5,3,3,2,2,2,1,1,5,2,3,5,2,5,2,3,1,3,1,1,5,5,2,5,4,4,1,2,1,3,2,"Olive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,5,5,5,4,5,5,4,5,5,4,5,5,5,4,3,3,5,2,5,2,5,1,5,2,2,5,5,5,5,5,5,3,5,5,5,4,"Kerry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,4,4,3,5,5,5,4,1,1,2,2,2,2,3,2,2,3,1,4,4,4,1,3,3,3,4,4,1,4,4,4,1,2,4,3,4,"Stephen",1,3,4,3,4,4,4,4,2,4,2,4,4,4,4,5,4
51,4,4,3,4,4,4,3,4,3,3,2,4,3,3,2,3,3,3,4,4,4,3,4,3,3,3,4,2,5,4,4,1,3,3,3,3,"Kerry",2,4,5,1,5,4,4,4,2,5,1,5,5,4,4,3,5
52,3,3,4,3,3,3,3,3,3,5,5,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elisa",1,4,5,2,4,4,5,5,1,5,1,5,5,5,4,4,3
53,5,3,5,5,5,4,4,4,3,2,2,2,2,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,2,2,4,4,3,5,5,2,2,2,4,5,"Elisa",3,1,2,1,5,2,4,5,4,3,2,3,4,5,4,4,4
54,5,5,5,5,5,5,5,5,5,4,4,3,3,3,2,3,2,2,2,2,2,1,2,3,3,3,3,5,5,5,5,5,2,5,5,1,"Olive",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
55,3,3,5,5,5,5,5,4,4,3,4,4,4,5,5,5,5,0,3,0,5,0,3,0,3,5,5,NA,5,5,5,0,5,5,4,5,"Kerry",1,1,4,1,5,1,4,1,4,5,1,4,4,5,4,3,4
58,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,2,5,4,5,2,2,3,3,5,5,3,5,4,5,0,1,5,4,5,"Elisa",1,4,5,4,4,5,4,4,2,5,1,4,3,3,2,3,4
