"ID","filler","fillerlog","non","nonlog","prev","prevlog","promo","promolog","cond","Age","Gender","RFSpro2","RFSpro3","RFSpro4","RFSpro5","RFSpre1","RFSpre2","RFSpre3","RFSpre5","RFBpro2","RFBpro3","RFBpro4","RFBpro5","RFBpre1","RFBpre2","RFBpre3","RFBpre5","RFQpro1r","RFQpro2","RFQpro3","RFQpro4r","RFQpro5","RFQpro6r","RFQpre1r","RFQpre2r","RFQpre3","RFQpre4r","RFQpre5r"
834,593.625,6.354914808,655.0666667,6.457081607,521.7777778,6.241161559,518.125,6.231142673,"student",18,2,5,6,4,6,6,6,5,6,4,4,4,4,3,4,5,4,2,3,3,4,4,4,2,2,2,2,2
835,707.7368421,6.533247973,733.2972973,6.568806711,604.5,6.400438867,669.9,6.48623535,"student",20,2,5,7,6,7,6,6,7,6,5,3,5,4,5,4,3,5,4,4,4,2,4,2,2,2,4,2,4
836,606.85,6.401433213,721.475,6.564925932,597.6,6.382871512,631.2,6.435182893,"student",20,2,5,5,5,5,6,5,4,2,6,7,5,4,2,4,6,5,3,4,4,4,4,2,2,2,4,2,1
837,735.3888889,6.567874929,689.1282051,6.514568691,761.5,6.614511652,747.4444444,6.584810217,"student",19,1,2,6,5,7,7,6,6,5,3,1,1,1,7,1,1,1,2,5,4,5,4,2,5,5,1,5,4
838,553.7222222,6.299954642,579.225,6.347584785,540.8,6.273172275,555.6,6.313876368,"student",18,1,5,5,5,5,5,6,5,6,4,5,6,4,5,5,6,6,2,4,4,2,4,1,2,2,4,2,4
839,646.1052632,6.460360612,697.3076923,6.526101202,618.9,6.423257756,658.5555556,6.474266674,"student",18,2,5,5,4,6,6,5,7,6,6,6,5,5,6,6,6,6,4,4,3,4,4,2,2,1,4,2,5
840,698,6.510726603,728.1621622,6.569663694,632.7,6.438419134,754.9,6.598960619,"friend",20,2,6,6,6,6,6,6,6,6,5,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4
842,672.15,6.484675346,682.2820513,6.50978049,661,6.465671017,594.3,6.375687625,"friend",22,1,3,4,6,6,6,6,6,6,5,5,6,4,3,5,5,4,2,4,4,3,4,2,4,4,4,4,4
843,784.7368421,6.652744488,837.45,6.717271877,797.75,6.659518444,731.1,6.590279705,"friend",19,1,6,2,6,6,7,4,4,2,5,5,6,4,3,4,4,4,2,5,4,2,5,1,2,2,5,2,3
844,699.9411765,6.534600024,785,6.645631194,837.7,6.692077888,665.375,6.483672705,"friend",18,1,7,7,7,7,6,5,7,5,7,7,7,7,2,7,7,7,1,5,5,1,5,1,1,1,5,1,1
845,757.4705882,6.611174254,876.0789474,6.751162979,807.8,6.658556181,786.8888889,6.633146785,"friend",19,2,5,6,6,6,5,5,6,5,4,3,5,2,1,3,5,4,1,4,4,3,4,1,2,2,5,1,2
846,633.85,6.441347698,746.6052632,6.589770555,628.6,6.432651398,649.9,6.461971493,"friend",18,2,6,7,6,7,7,7,7,6,7,7,7,7,5,7,7,7,2,5,5,5,5,2,4,4,4,3,3
847,587.7,6.350945343,645.7368421,6.450982777,561.9,6.324954398,540.3,6.284303726,"friend",18,2,7,2,7,7,7,7,7,1,7,1,4,2,2,6,5,3,2,5,3,3,4,5,1,3,5,1,4
849,635.0555556,6.438255152,662.6315789,6.482505919,647.6666667,6.469631529,599.2222222,6.385257819,"student",19,1,4,5,5,5,5,5,5,4,4,3,4,4,3,3,5,3,2,3,4,4,4,4,2,4,4,4,4
850,553.2631579,6.296096179,729.0285714,6.531792217,559.1,6.314813274,552.9,6.285606376,"friend",21,1,7,7,7,7,6,7,7,5,6,6,6,6,6,6,6,6,1,4,5,1,5,1,4,1,4,4,4
851,782.4444444,6.634090045,808.8108108,6.678336928,738.6666667,6.588655855,802.3,6.667694402,"friend",19,1,6,6,7,7,5,3,6,6,7,2,6,5,5,2,7,2,1,5,5,1,5,1,5,5,4,2,4
852,683.0526316,6.50799724,712.6756757,6.549445268,678,6.506054878,708.7,6.550382864,"student",20,1,4,3,6,4,6,5,5,3,6,6,6,5,6,6,6,6,2,4,4,5,4,2,2,2,5,2,5
853,988,6.867878208,989.8378378,6.880425356,1019.888889,6.901329708,850.5714286,6.732414067,"student",19,1,6,7,6,6,5,5,4,5,6,5,6,5,3,6,6,3,2,4,3,4,5,1,4,2,4,4,4
854,614.2941176,6.404196321,649.325,6.460601286,585,6.362368528,555.2,6.313113731,"friend",20,2,6,7,6,6,7,6,7,5,6,5,6,5,2,5,5,6,2,4,2,3,4,2,2,2,5,4,2
858,644.1052632,6.442199469,720.3589744,6.543447843,619.4444444,6.41695102,568.5,6.334136051,"student",18,1,5,6,6,5,7,7,6,5,5,5,6,5,4,3,5,5,3,4,4,3,4,3,4,4,3,4,4
859,757.9411765,6.597604797,727.7567568,6.570080408,671.2,6.498296778,641.6,6.41355007,"friend",19,1,7,7,7,7,6,6,7,5,7,7,7,7,5,6,7,7,4,5,4,4,5,5,5,5,4,5,5
861,585.4444444,6.365885577,649.5897436,6.464332369,617,6.410306697,625.4,6.425499422,"friend",19,2,6,6,6,6,5,6,6,6,6,6,5,6,5,6,6,6,2,5,4,4,4,2,2,2,5,2,4
866,712.8823529,6.548423841,952.4193548,6.833018085,784.625,6.644832442,775,6.626035009,"friend",19,1,5,5,6,7,7,6,5,6,6,3,6,5,1,5,5,5,2,4,4,3,5,2,2,4,4,1,5
867,721,6.563597399,696.1621622,6.518586519,740.6666667,6.548680783,670.1111111,6.484285643,"student",21,1,6,6,7,6,5,6,5,5,6,6,5,5,2,4,6,5,1,4,4,3,3,2,1,2,3,3,3
868,574.4444444,6.330541582,604.5526316,6.391098947,536.1111111,6.277876383,638.5,6.395704318,"student",20,1,7,7,5,6,7,7,7,6,6,5,6,3,3,5,6,5,1,5,4,4,4,1,2,2,5,2,4
869,550.1176471,6.282001051,564.5277778,6.322834155,522.4,6.251306709,495.2222222,6.18751609,"student",19,2,5,2,5,5,2,4,4,2,4,2,4,4,2,3,4,4,2,5,4,3,4,3,2,2,4,1,4
870,844.6842105,6.719716039,832.1282051,6.713453495,791.1,6.656550701,762.8888889,6.619810093,"student",21,1,7,5,7,7,7,6,5,6,7,6,7,7,5,7,5,7,2,5,4,3,5,1,4,4,2,4,5
872,709.5,6.547194435,731.7,6.584672255,692.8,6.53633115,637.6666667,6.450027915,"student",21,1,5,3,6,4,3,5,4,3,6,3,4,4,2,4,3,4,2,4,4,2,4,2,3,3,4,3,4
875,573.5,6.340839379,809.7027027,6.674240212,707.8,6.51359674,662.6,6.460486071,"student",19,1,5,5,6,4,2,5,5,6,3,3,5,3,5,5,5,4,1,4,5,1,5,2,1,1,5,1,2
881,787.5555556,6.660579541,1014.151515,6.909810668,883.4,6.76430365,843.5714286,6.70311137,"student",19,2,4,4,5,6,7,6,5,3,4,3,4,2,4,5,5,2,3,4,4,2,4,2,3,2,3,2,2
882,720.2105263,6.55176096,833.6578947,6.704497212,669.4444444,6.497581161,646.3,6.458781035,"friend",18,2,6,7,7,6,4,7,7,7,6,6,6,4,5,6,6,5,2,5,5,2,5,1,2,2,4,2,3
886,640.5294118,6.453118666,644.65,6.455380281,681.5,6.493285182,587.7,6.35844466,"friend",19,1,4,4,5,6,4,4,4,3,6,6,6,6,2,6,6,6,1,5,5,2,5,1,5,5,3,5,5
888,524.5555556,6.257694598,522.2820513,6.250772931,498.9,6.207657539,501.4444444,6.21212521,"friend",19,2,6,6,6,6,6,7,7,5,5,5,5,5,6,5,5,5,2,4,4,4,3,2,4,4,4,4,5
897,558.7647059,6.314646196,603.8823529,6.396075661,519.7777778,6.241811351,539.7,6.286385399,"student",20,2,5,5,6,6,5,5,6,4,5,4,5,3,2,4,5,5,2,4,4,2,4,2,2,2,5,1,2
915,644.0666667,6.435867108,764.125,6.601183567,463.3,6.122643512,474.3,6.129889358,"friend",19,1,6,7,7,7,5,7,6,4,4,4,4,4,4,4,4,5,2,5,5,3,4,4,5,4,4,4,3
930,682.9333333,6.511348461,662.5263158,6.482173831,709.7,6.546305961,784.1,6.632797829,"student",20,2,6,6,5,5,5,5,6,5,4,4,3,4,5,4,6,4,2,3,3,5,3,4,1,4,2,3,4
939,557.2,6.307247051,627.125,6.434036366,585.6666667,6.316866356,552,6.30344537,"student",20,1,4,7,6,7,7,6,7,7,4,3,5,5,5,3,5,5,3,4,4,4,4,2,2,2,5,2,4
943,799.2777778,6.62948434,723.2368421,6.555605171,749.1,6.550382509,668,6.486917105,"student",20,2,6,6,7,7,6,6,7,6,7,5,5,4,2,5,6,6,1,5,5,2,5,1,1,1,5,1,3
946,634.4,6.42198981,785.8484848,6.649461313,583.6,6.357616368,559.3333333,6.315887,"friend",18,2,6,6,4,6,6,6,6,5,6,4,6,5,2,3,6,4,2,4,4,4,3,1,1,1,5,2,2
951,564.8823529,6.326087789,557.2894737,6.314396831,568.1,6.334156418,528.6,6.264817604,"student",18,2,6,4,6,6,5,5,6,5,6,6,6,6,4,6,6,6,1,5,4,2,4,2,4,4,3,4,5
953,650.4210526,6.45887869,616.3684211,6.41279107,652.5,6.467310158,592.7777778,6.365271436,"student",18,2,4,4,5,6,1,6,3,3,7,7,7,7,7,7,7,7,1,4,5,2,4,1,2,1,2,1,4
958,709.6111111,6.519843024,652.4594595,6.462676223,652.4444444,6.436442126,644,6.434078203,"friend",18,1,4,5,4,4,4,4,4,5,4,5,3,4,2,5,4,6,4,2,3,3,4,4,4,1,4,3,2
963,724.2105263,6.567273316,743.6944444,6.585237205,573.8888889,6.346868218,698.7,6.525829655,"student",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,4,4,4,6,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
969,890.5882353,6.777526066,927.6944444,6.803319159,862.2222222,6.731282815,868.8888889,6.754859412,"student",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,5,3,6,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
